"STATION","NAME","DATE","ACMH","ACSH","DAPR","DASF","MDPR","MDSF","PGTM","PRCP","PSUN","SNOW","SNWD","TMAX","TMIN","TOBS","TSUN","WDFG","WDFM","WESD","WSFG","WSFM","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT11","WT14","WT16","WT18"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-06-01",,,,,,," 1406","0.00",,"0.0","0.0","87","64",,,"  225",,,"32.2",,,,,,,,,"    1",,,,"    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-06-02",,,,,,," 1018","0.03",,"0.0","0.0","83","63",,,"  315",,,"24.2",,,,,,,,,,,,,"    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-06-03",,,,,,," 1748","0.00",,"0.0","0.0","88","65",,,"  270",,,"19.5",,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-06-04",,,,,,," 1730","0.17",,"0.0","0.0","87","65",,,"  360",,,"27.5",,,,"    1",,,,,"    1",,,,"    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-06-05",,,,,,," 0030","0.09",,"0.0","0.0","73","60",,,"  135",,,"40.3",,"    1",,"    1",,,,,"    1",,,,"    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-06-06",,,,,,," 1754","0.00",,"0.0","0.0","67","55",,,"   68",,,"21.9",,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-06-07",,,,,,," 1206","0.00",,"0.0","0.0","66","54",,,"   45",,,"28.9",,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-06-08",,,,,,," 1436","0.00",,"0.0","0.0","73","52",,,"   68",,,"23.0",,,,,,,,,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-06-09",,,,,,," 1054","0.00",,"0.0","0.0","75","55",,,"   90",,,"23.0",,,,,,,,,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-06-10",,,,,,," 1554","0.00",,"0.0","0.0","85","59",,,"  225",,,"21.9",,,,,,,,,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-06-11",,,,,,," 1306","0.74",,"0.0","0.0","85","55",,,"   68",,,"23.0",,,,"    1",,,,,"    1",,,,"    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-06-12",,,,,,," 0154","0.43",,"0.0","0.0","62","55",,,"   45",,,"18.3",,"    1",,,,,,,"    1",,,"    1","    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-06-13",,,,,,," 1454","1.06",,"0.0","0.0","61","57",,,"   45",,,"38.0",,"    1",,,,,,,"    1",,,"    1","    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-06-14",,,,,,," 1618","0.16",,"0.0","0.0","59","55",,,"  315",,,"23.0",,"    1",,,,,,,"    1",,,"    1","    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-06-15",,,,,,," 1424","0.04",,"0.0","0.0","82","55",,,"  225",,,"32.2",,"    1",,"    1",,,,,"    1",,,,"    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-06-16",,,,,,," 1330","0.11",,"0.0","0.0","80","54",,,"  225",,,"33.3",,,,"    1",,,,,"    1",,,,"    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-06-17",,,,,,," 0048","0.05",,"0.0","0.0","65","51",,,"   23",,,"32.2",,"    1",,,,,,,"    1",,,"    1","    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-06-18",,,,,,," 1318","0.06",,"0.0","0.0","78","52",,,"  203",,,"26.4",,,,,,,,,"    1",,,,"    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-06-19",,,,,,," 0824","0.00",,"0.0","0.0","75","60",,,"   23",,,"24.2",,"    1",,,,,,,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-06-20",,,,,,," 1524","0.05",,"0.0","0.0","71","57",,,"   90",,,"20.8",,,,,,,,,"    1",,,,"    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-06-21",,,,,,," 0018","0.12",,"0.0","0.0","74","59",,,"  113",,,"19.5",,"    1",,,,,,,"    1",,,,"    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-06-22",,,,,,," 1724","0.00",,"0.0","0.0","81","64",,,"   68",,,"19.5",,"    1",,,,,,,"    1",,,,"    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-06-23",,,,,,," 0900","0.08",,"0.0","0.0","82","62",,,"  180",,,"43.6",,"    1",,"    1",,,,,"    1",,,,"    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-06-24",,,,,,," 1118","0.00",,"0.0","0.0","75","59",,,"  315",,,"31.1",,,,,,,,,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-06-25",,,,,,," 1630","0.00",,"0.0","0.0","84","58",,,"  248",,,"18.3",,,,,,,,,"    1",,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-06-26",,,,,,," 1512","0.00",,"0.0","0.0","84","64",,,"  180",,,"23.0",,,,,,,,,,,,,,
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-06-27",,,,,,," 1412","0.05",,"0.0","0.0","84","65",,,"  203",,,"27.5",,,,,,,,,,,,,"    1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1960-06-28",,,,,,," 1342","0.13",,"0.0","0.0","84","68",,,"  315",,,"38.0",,,,"    1",,,,,"    1",,,,"    1",
